Data,Casos,Casos por dia,Óbitos por dia
18/mai./2021,3112624,15779,810
19/mai./2021,3129412,16788,747
20/mai./2021,3147348,17936,585
21/mai./2021,3163859,16511,580
22/mai./2021,3180595,16736,480
23/mai./2021,3188105,7510,117
24/mai./2021,3192727,4622,63
25/mai./2021,3210204,17477,898
26/mai./2021,3226875,16671,666
27/mai./2021,3239657,12782,609
28/mai./2021,3241240,1583,703
29/mai./2021,3254893,13653,570
30/mai./2021,3265930,11037,181
31/mai./2021,3272043,6113,70
01/jun./2021,3291509,19466,836
02/jun./2021,3314631,23122,717
03/jun./2021,3334364,19733,514
04/jun./2021,3338262,3898,33
05/jun./2021,3355201,16939,718
06/jun./2021,3365160,9959,212
07/jun./2021,3370234,5074,138
08/jun./2021,3378256,8022,767
09/jun./2021,3382448,4192,651
10/jun./2021,3405481,23033,733
11/jun./2021,3428356,22875,651
12/jun./2021,3449577,21221,543
13/jun./2021,3458849,9272,234
14/jun./2021,3464158,5309,92
15/jun./2021,3487385,23227,897
16/jun./2021,3509967,22582,795
17/jun./2021,3525021,15054,619
18/jun./2021,3552727,27706,714
19/jun./2021,3573210,20483,722
20/jun./2021,3582792,9582,200
21/jun./2021,3587646,4854,98
22/jun./2021,3610743,23097,843
23/jun./2021,3630251,19508,724
24/jun./2021,3648202,17951,781
25/jun./2021,3669196,20994,772
26/jun./2021,3688128,18932,538
27/jun./2021,3696093,7965,134
28/jun./2021,3700378,4285,62
29/jun./2021,3719586,19208,825
30/jun./2021,3727348,7762,744
01/jul./2021,3743291,15943,641
02/jul./2021,3762758,19467,599
03/jul./2021,3779408,16650,532
04/jul./2021,3785859,6451,156
05/jul./2021,3790090,4231,66
06/jul./2021,3809222,19132,714
07/jul./2021,3824111,14889,546
08/jul./2021,3838564,14453,543
09/jul./2021,3853276,14712,482
10/jul./2021,3860960,7684,105
11/jul./2021,3866178,5218,75
12/jul./2021,3869300,3122,65
13/jul./2021,3879846,10546,640
14/jul./2021,3896083,16237,519
15/jul./2021,3908279,12196,537
16/jul./2021,3919754,11475,419
17/jul./2021,3936849,17095,448
18/jul./2021,3939632,2783,35
19/jul./2021,3942776,3144,97
20/jul./2021,3947574,4798,590
21/jul./2021,3966009,18435,483
22/jul./2021,3979102,13093,493
23/jul./2021,3991188,12086,418
24/jul./2021,3997084,5896,327
25/jul./2021,4001078,3994,25
26/jul./2021,4003549,2471,37
27/jul./2021,4015426,11877,467
28/jul./2021,4027062,11636,361
29/jul./2021,4038375,11313,335
30/jul./2021,4048478,10103,266
31/jul./2021,4057868,9390,294
01/ago./2021,4061741,3873,43
02/ago./2021,4063680,1939,20
03/ago./2021,4073622,9942,405
04/ago./2021,4084112,10490,406
05/ago./2021,4094211,10099,265
06/ago./2021,4104768,10557,293
07/ago./2021,4113741,8973,249
08/ago./2021,4117467,3726,78
09/ago./2021,4119265,1798,54
10/ago./2021,4129720,10455,468
11/ago./2021,4138421,8701,387
12/ago./2021,4147665,9244,294
13/ago./2021,4156563,8898,241
14/ago./2021,4164587,8024,329
15/ago./2021,4168493,3906,60
16/ago./2021,4170541,2048,21
17/ago./2021,4179148,8607,526
18/ago./2021,4187465,8317,336
19/ago./2021,4195466,8001,281
20/ago./2021,4202577,7111,261
21/ago./2021,4209421,6844,172
22/ago./2021,4212611,3190,31
23/ago./2021,4214553,1942,27
24/ago./2021,4222902,8349,267
25/ago./2021,4229600,6698,257
26/ago./2021,4236436,6836,245
27/ago./2021,4244071,7635,304
28/ago./2021,4250474,6403,183
